site_id,EC_value_fin,area_sqkm,CaO_mean,MgO_mean,S_mean,HC_mean,precip_mean,water_capability,Bulk_mean,OC_mean,soil_ero_mean,soil_permeability,soil_depth,EVI_mean,temperature
97,223.0588235294,15.298036,12.8788281808,2.3663260871,0.3596030067,-2.0985527584,1044.159729,61.7936448263,1.4115384267,1.3807692711,0.0358087875,-5.1139240506,3.7142857143,0.3765124508,7.663368034
98,292.5,1.453974,1.35310347,2.1906897052,0.2840157236,-5.043730231,817.055541992,144.648748398,1.3999999762,0.7400000095,0.0380562851,-6,20,0.3548239172,10.02222251
99,216.2727272727,17.890392,8.0726550104,2.5992343187,0.5447846322,-2.4267737911,1019.56698788,60.650990351,1.4116666317,1.4777778255,0.0347693058,-6,4.6857142857,0.3762935933,7.636111136
100,189.3636363636,11.963038,5.5736912097,1.9326007366,0.3330994631,-1.4062759189,1426.3083374,46.8907357346,1.4099999666,1.4500000477,0.0424943767,-6,4.6264367816,0.3157883259,8.271666717
101,167.4615384615,5.383837,6.9070521638,2.3677985855,0.3860420389,-1.718277008,1423.7111084,47.9681166035,1.4099999666,1.4500000477,0.0434300955,-5.9464285714,4.7894736842,0.3228747696,8.288889007
102,287.0909090909,2.98121,7.8743242219,2.459290643,0.4841804844,-2.0051705807,1396.97220866,42.7137556076,1.4099999666,1.4500000477,0.0418739346,-6,4.9,0.3969407082,8.426851908
103,204.4,7.265487,7.221255024,2.3097818109,0.4594614806,-1.8351653455,1324.64287458,66.9437475204,1.4157142469,1.457142898,0.0441256342,-6,3.9863636364,0.3295673355,8.963492039
104,223.4444444444,7.30744,7.2288465836,2.3115197664,0.4604324852,-1.8371415601,1324.64287458,66.9437475204,1.4157142469,1.457142898,0.0441256342,-6,3.9774774775,0.3295673355,8.963492039
105,282.7727272727,1.061363,5.8398094541,1.9935238793,0.3268499896,-1.4755511119,1291.7622839,74.9649963379,1.4149999619,1.2250000238,0.0418675467,-6,3.2692307692,0.3369723448,9.140661787
106,136.75,12.085768,8.5947669411,2.6300167523,0.5612743001,-2.197125486,1317.6861084,73.1329276425,1.4142856768,1.3892857518,0.0410433463,-5.9836956522,3.3093922652,0.3124245405,9.118888855
107,241,0.212899,2.2914999843,1.1845000088,0.0299999993,-0.6228025645,1278.5743505,74.9649963379,1.4156985114,1.1935652612,0.0488272452,-6,3,0.3918759807,9.191373382
